State or other jurisdiction,Year,Value,Type
Massachusetts,1991,3.75,Minimum Wage
Michigan,1991,3.35,Minimum Wage
Minnesota,1991,4.25,Minimum Wage
Mississippi,1991,...,Minimum Wage
Missouri,1991,3.8,Minimum Wage
Montana,1991,3.8,Minimum Wage
Nebraska,1991,3.35,Minimum Wage
Nevada,1991,3.8,Minimum Wage
New Hampshire,1991,3.85,Minimum Wage
New Jersey,1991,3.8,Minimum Wage
New Mexico,1991,3.35,Minimum Wage
New York,1991,3.8,Minimum Wage
North Carolina,1991,3.35,Minimum Wage
North Dakota,1991,3.4,Minimum Wage
Ohio,1991,3.8,Minimum Wage
Oklahoma,1991,3.8,Minimum Wage
Oregon,1991,4.75,Minimum Wage
Pennsylvania,1991,3.8,Minimum Wage
Rhode Island,1991,4.25,Minimum Wage
South Carolina,1991,...,Minimum Wage
South Dakota,1991,3.8,Minimum Wage
Tennessee,1991,...,Minimum Wage
Texas,1991,3.35,Minimum Wage
Utah,1991,3.8,Minimum Wage
Vermont,1991,3.85,Minimum Wage
Virginia,1991,2.65,Minimum Wage
Washington,1991,4.25,Minimum Wage
West Virginia,1991,3.35,Minimum Wage
Wisconsin,1991,3.8,Minimum Wage
Wyoming,1991,1.6,Minimum Wage
District of Columbia,1991,4.85,Minimum Wage
FLSA,1992,4.25,Minimum Wage
Alabama,1992,...,Minimum Wage
Alaska,1992,4.75,Minimum Wage
Arizona,1992,...,Minimum Wage
Arkansas,1992,3.65,Minimum Wage
California,1992,4.25,Minimum Wage
Colorado,1992,3,Minimum Wage
Connecticut,1992,4.27,Minimum Wage
Delaware,1992,4.25,Minimum Wage
Florida,1992,...,Minimum Wage
Georgia,1992,3.25,Minimum Wage
Hawaii,1992,3.85,Minimum Wage
Idaho,1992,4.25,Minimum Wage
Illinois,1992,4.25,Minimum Wage
Indiana,1992,3.35,Minimum Wage
Iowa,1992,4.65,Minimum Wage
Kansas,1992,2.65,Minimum Wage
Kentucky,1992,4.25,Minimum Wage
Louisiana,1992,...,Minimum Wage
Maine,1992,4.25,Minimum Wage
Maryland,1992,4.25,Minimum Wage
Massachusetts,1992,4.25,Minimum Wage
Michigan,1992,3.35,Minimum Wage
Minnesota,1992,4.25,Minimum Wage
Mississippi,1992,...,Minimum Wage
Missouri,1992,4.25,Minimum Wage
Montana,1992,4.25,Minimum Wage
Nebraska,1992,4.25,Minimum Wage
Nevada,1992,4.25,Minimum Wage
New Hampshire,1992,4.25,Minimum Wage
New Jersey,1992,4.25,Minimum Wage
New Mexico,1992,3.35,Minimum Wage
New York,1992,4.25,Minimum Wage
North Carolina,1992,3.8,Minimum Wage
North Dakota,1992,4.25,Minimum Wage
Ohio,1992,4.25,Minimum Wage
Oklahoma,1992,4.25,Minimum Wage
Oregon,1992,4.75,Minimum Wage
Pennsylvania,1992,4.25,Minimum Wage
Rhode Island,1992,4.45,Minimum Wage
South Carolina,1992,...,Minimum Wage
South Dakota,1992,4.25,Minimum Wage
Tennessee,1992,...,Minimum Wage
Texas,1992,3.35,Minimum Wage
Utah,1992,4.25,Minimum Wage
Vermont,1992,4.25,Minimum Wage
Virginia,1992,3.65,Minimum Wage
Washington,1992,4.25,Minimum Wage
West Virginia,1992,3.8,Minimum Wage
Wisconsin,1992,3.8,Minimum Wage
Wyoming,1992,1.6,Minimum Wage
District of Columbia,1992,5.45,Minimum Wage
FLSA,1994,4.25,Minimum Wage
Alabama,1994,...,Minimum Wage
Alaska,1994,4.75,Minimum Wage
Arizona,1994,...,Minimum Wage
Arkansas,1994,4.25,Minimum Wage
California,1994,4.25,Minimum Wage
Colorado,1994,3,Minimum Wage
Connecticut,1994,4.27,Minimum Wage
Delaware,1994,4.25,Minimum Wage
Florida,1994,...,Minimum Wage
Georgia,1994,3.25,Minimum Wage
Hawaii,1994,5.25,Minimum Wage
Idaho,1994,4.25,Minimum Wage
Illinois,1994,4.25,Minimum Wage
Indiana,1994,3.35,Minimum Wage
Iowa,1994,4.65,Minimum Wage
Kansas,1994,2.65,Minimum Wage
Kentucky,1994,4.25,Minimum Wage
Louisiana,1994,...,Minimum Wage
Maine,1994,4.25,Minimum Wage
Maryland,1994,4.25,Minimum Wage
Massachusetts,1994,4.25,Minimum Wage
Michigan,1994,3.35,Minimum Wage
Minnesota,1994,4.25,Minimum Wage
Mississippi,1994,...,Minimum Wage
Missouri,1994,4.25,Minimum Wage
Montana,1994,4.25,Minimum Wage
Nebraska,1994,4.25,Minimum Wage
Nevada,1994,4.25,Minimum Wage
New Hampshire,1994,4.25,Minimum Wage
New Jersey,1994,5.05,Minimum Wage
New Mexico,1994,4.25,Minimum Wage
New York,1994,4.25,Minimum Wage
North Carolina,1994,4.25,Minimum Wage
North Dakota,1994,4.25,Minimum Wage
Ohio,1994,4.25,Minimum Wage
Oklahoma,1994,4.25,Minimum Wage
Oregon,1994,4.75,Minimum Wage
Pennsylvania,1994,4.25,Minimum Wage
Rhode Island,1994,4.45,Minimum Wage
South Carolina,1994,...,Minimum Wage
South Dakota,1994,4.25,Minimum Wage
Tennessee,1994,...,Minimum Wage
Texas,1994,3.35,Minimum Wage
Utah,1994,4.25,Minimum Wage
Vermont,1994,4.25,Minimum Wage
Virginia,1994,4.25,Minimum Wage
Washington,1994,4.25,Minimum Wage
West Virginia,1994,4.25,Minimum Wage
Wisconsin,1994,4.25,Minimum Wage
Wyoming,1994,1.6,Minimum Wage
District of Columbia,1994,4.25,Minimum Wage
FLSA,1996,4.25,Minimum Wage
Alabama,1996,...,Minimum Wage
Alaska,1996,4.75,Minimum Wage
Arizona,1996,...,Minimum Wage
Arkansas,1996,4.25,Minimum Wage
California,1996,4.25,Minimum Wage
Colorado,1996,3,Minimum Wage
Connecticut,1996,4.27,Minimum Wage
Delaware,1996,4.65,Minimum Wage
Florida,1996,...,Minimum Wage
Georgia,1996,3.25,Minimum Wage
Hawaii,1996,5.25,Minimum Wage
Idaho,1996,4.25,Minimum Wage
Illinois,1996,4.25,Minimum Wage
Indiana,1996,3.35,Minimum Wage
Iowa,1996,4.65,Minimum Wage
Kansas,1996,2.65,Minimum Wage
Kentucky,1996,4.25,Minimum Wage
Louisiana,1996,...,Minimum Wage
Maine,1996,4.25,Minimum Wage
Maryland,1996,4.25,Minimum Wage
Massachusetts,1996,4.75,Minimum Wage
Michigan,1996,3.35,Minimum Wage
Minnesota,1996,4.25,Minimum Wage
Mississippi,1996,...,Minimum Wage
Missouri,1996,4.25,Minimum Wage
Montana,1996,4.25,Minimum Wage
Nebraska,1996,4.25,Minimum Wage
Nevada,1996,4.25,Minimum Wage
New Hampshire,1996,4.25,Minimum Wage
New Jersey,1996,5.05,Minimum Wage
New Mexico,1996,4.25,Minimum Wage
New York,1996,4.25,Minimum Wage
North Carolina,1996,4.25,Minimum Wage
North Dakota,1996,4.25,Minimum Wage
Ohio,1996,4.25,Minimum Wage
Oklahoma,1996,4.25,Minimum Wage
Oregon,1996,4.75,Minimum Wage
Pennsylvania,1996,4.25,Minimum Wage
Rhode Island,1996,4.45,Minimum Wage
South Carolina,1996,...,Minimum Wage
South Dakota,1996,4.25,Minimum Wage
Tennessee,1996,...,Minimum Wage
Texas,1996,3.35,Minimum Wage
Utah,1996,4.25,Minimum Wage
Vermont,1996,4.75,Minimum Wage
Virginia,1996,4.25,Minimum Wage
Washington,1996,4.9,Minimum Wage
West Virginia,1996,4.25,Minimum Wage
Wisconsin,1996,4.25,Minimum Wage
Wyoming,1996,1.6,Minimum Wage
District of Columbia,1996,5.25,Minimum Wage
FLSA,1997,4.75,Minimum Wage
Alabama,1997,...,Minimum Wage
Alaska,1997,5.25,Minimum Wage
Arizona,1997,...,Minimum Wage
Arkansas,1997,4.25,Minimum Wage
California,1997,4.75,Minimum Wage
Colorado,1997,4.75,Minimum Wage
Connecticut,1997,4.77,Minimum Wage
Delaware,1997,5,Minimum Wage
Florida,1997,...,Minimum Wage
Georgia,1997,3.25,Minimum Wage
Hawaii,1997,5.25,Minimum Wage
Idaho,1997,4.25,Minimum Wage
Illinois,1997,4.75,Minimum Wage
Indiana,1997,3.35,Minimum Wage
Iowa,1997,4.75,Minimum Wage
Kansas,1997,2.65,Minimum Wage
Kentucky,1997,4.25,Minimum Wage
Louisiana,1997,...,Minimum Wage
Maine,1997,4.75,Minimum Wage
Maryland,1997,4.75,Minimum Wage
Massachusetts,1997,5.25,Minimum Wage
Michigan,1997,3.35,Minimum Wage
Minnesota,1997,4.25,Minimum Wage
Mississippi,1997,...,Minimum Wage
Missouri,1997,4.75,Minimum Wage
Montana,1997,4.75,Minimum Wage
Nebraska,1997,4.25,Minimum Wage
Nevada,1997,4.75,Minimum Wage
New Hampshire,1997,4.75,Minimum Wage
New Jersey,1997,5.05,Minimum Wage
New Mexico,1997,4.25,Minimum Wage
New York,1997,4.25,Minimum Wage
North Carolina,1997,4.25,Minimum Wage
North Dakota,1997,4.75,Minimum Wage
Ohio,1997,4.25,Minimum Wage
Oklahoma,1997,4.75,Minimum Wage
Oregon,1997,5.5,Minimum Wage
Pennsylvania,1997,4.75,Minimum Wage
Rhode Island,1997,5.15,Minimum Wage
South Carolina,1997,...,Minimum Wage
South Dakota,1997,4.25,Minimum Wage
Tennessee,1997,...,Minimum Wage
Texas,1997,3.35,Minimum Wage
Utah,1997,4.75,Minimum Wage
Vermont,1997,5,Minimum Wage
Virginia,1997,4.75,Minimum Wage
Washington,1997,4.9,Minimum Wage
West Virginia,1997,4.25,Minimum Wage
Wisconsin,1997,4.75,Minimum Wage
Wyoming,1997,1.6,Minimum Wage
District of Columbia,1997,5.75,Minimum Wage
FLSA,1998,5.15,Minimum Wage
Alabama,1998,...,Minimum Wage
Alaska,1998,5.65,Minimum Wage
Arizona,1998,...,Minimum Wage
Arkansas,1998,5.15,Minimum Wage
California,1998,5.15,Minimum Wage
Colorado,1998,5.15,Minimum Wage
Connecticut,1998,5.18,Minimum Wage
Delaware,1998,5.15,Minimum Wage
Florida,1998,...,Minimum Wage
Georgia,1998,3.25,Minimum Wage
Hawaii,1998,5.25,Minimum Wage
Idaho,1998,5.15,Minimum Wage
Illinois,1998,5.15,Minimum Wage
Indiana,1998,3.35,Minimum Wage
Iowa,1998,5.15,Minimum Wage
Kansas,1998,2.65,Minimum Wage
Kentucky,1998,4.25,Minimum Wage
Louisiana,1998,...,Minimum Wage
Maine,1998,5.15,Minimum Wage
Maryland,1998,5.15,Minimum Wage
Massachusetts,1998,5.25,Minimum Wage
Michigan,1998,5.15,Minimum Wage
Minnesota,1998,5.15,Minimum Wage
Mississippi,1998,...,Minimum Wage
Missouri,1998,5.15,Minimum Wage
Montana,1998,5.15,Minimum Wage
Nebraska,1998,5.15,Minimum Wage
Nevada,1998,5.15,Minimum Wage
New Hampshire,1998,5.15,Minimum Wage
New Jersey,1998,5.05,Minimum Wage
New Mexico,1998,4.25,Minimum Wage
New York,1998,4.25,Minimum Wage
North Carolina,1998,5.15,Minimum Wage
North Dakota,1998,5.15,Minimum Wage
Ohio,1998,4.25,Minimum Wage
Oklahoma,1998,5.15,Minimum Wage
Oregon,1998,6,Minimum Wage
Pennsylvania,1998,5.15,Minimum Wage
Rhode Island,1998,5.15,Minimum Wage
South Carolina,1998,...,Minimum Wage
South Dakota,1998,5.15,Minimum Wage
Tennessee,1998,...,Minimum Wage
Texas,1998,3.35,Minimum Wage
Utah,1998,5.15,Minimum Wage
Vermont,1998,5.25,Minimum Wage
Virginia,1998,5.15,Minimum Wage
Washington,1998,4.9,Minimum Wage
West Virginia,1998,4.75,Minimum Wage
Wisconsin,1998,5.15,Minimum Wage
Wyoming,1998,1.6,Minimum Wage
District of Columbia,1998,6.15,Minimum Wage
FLSA,2000,5.15,Minimum Wage
Alabama,2000,...,Minimum Wage
Alaska,2000,5.65,Minimum Wage
Arizona,2000,...,Minimum Wage
Arkansas,2000,5.15,Minimum Wage
California,2000,5.75,Minimum Wage
Colorado,2000,5.15,Minimum Wage
Connecticut,2000,6.15,Minimum Wage
Delaware,2000,5.65,Minimum Wage
Florida,2000,...,Minimum Wage
Georgia,2000,3.25,Minimum Wage
Hawaii,2000,5.25,Minimum Wage
Idaho,2000,5.15,Minimum Wage
Illinois,2000,5.15,Minimum Wage
Indiana,2000,5.15,Minimum Wage
Iowa,2000,5.15,Minimum Wage
Kansas,2000,2.65,Minimum Wage
Kentucky,2000,5.15,Minimum Wage
Louisiana,2000,...,Minimum Wage
Maine,2000,5.15,Minimum Wage
Maryland,2000,5.15,Minimum Wage
Massachusetts,2000,6,Minimum Wage
Michigan,2000,5.15,Minimum Wage
Minnesota,2000,5.15,Minimum Wage
Mississippi,2000,...,Minimum Wage
Missouri,2000,5.15,Minimum Wage
Montana,2000,5.15,Minimum Wage
Nebraska,2000,5.15,Minimum Wage
Nevada,2000,5.15,Minimum Wage
New Hampshire,2000,5.15,Minimum Wage
New Jersey,2000,5.15,Minimum Wage
New Mexico,2000,4.25,Minimum Wage
New York,2000,4.25,Minimum Wage
North Carolina,2000,5.15,Minimum Wage
North Dakota,2000,5.15,Minimum Wage
Ohio,2000,4.25,Minimum Wage
Oklahoma,2000,5.15,Minimum Wage
Oregon,2000,6.5,Minimum Wage
Pennsylvania,2000,5.15,Minimum Wage
Rhode Island,2000,5.65,Minimum Wage
South Carolina,2000,...,Minimum Wage
South Dakota,2000,5.15,Minimum Wage
Tennessee,2000,...,Minimum Wage
Texas,2000,3.35,Minimum Wage
Utah,2000,5.15,Minimum Wage
Vermont,2000,5.75,Minimum Wage
Virginia,2000,5.15,Minimum Wage
Washington,2000,6.5,Minimum Wage
West Virginia,2000,5.15,Minimum Wage
Wisconsin,2000,5.15,Minimum Wage
Wyoming,2000,1.6,Minimum Wage
District of Columbia,2000,6.15,Minimum Wage
FLSA,2001,5.15,Minimum Wage
Alabama,2001,...,Minimum Wage
Alaska,2001,5.65,Minimum Wage
Arizona,2001,...,Minimum Wage
Arkansas,2001,5.15,Minimum Wage
California,2001,6.25,Minimum Wage
Colorado,2001,5.15,Minimum Wage
Connecticut,2001,6.4,Minimum Wage
Delaware,2001,6.15,Minimum Wage
Florida,2001,...,Minimum Wage
Georgia,2001,3.25,Minimum Wage
Hawaii,2001,5.25,Minimum Wage
Idaho,2001,5.15,Minimum Wage
Illinois,2001,5.15,Minimum Wage
Indiana,2001,5.15,Minimum Wage
Iowa,2001,5.15,Minimum Wage
Kansas,2001,2.65,Minimum Wage
Kentucky,2001,5.15,Minimum Wage
Louisiana,2001,...,Minimum Wage
Maine,2001,5.15,Minimum Wage
Maryland,2001,5.15,Minimum Wage
Massachusetts,2001,6.75,Minimum Wage
Michigan,2001,5.15,Minimum Wage
Minnesota,2001,5.15,Minimum Wage
Mississippi,2001,...,Minimum Wage
Missouri,2001,5.15,Minimum Wage
Montana,2001,5.15,Minimum Wage
Nebraska,2001,5.15,Minimum Wage
Nevada,2001,5.15,Minimum Wage
New Hampshire,2001,5.15,Minimum Wage
New Jersey,2001,5.15,Minimum Wage
New Mexico,2001,4.25,Minimum Wage
New York,2001,5.15,Minimum Wage
North Carolina,2001,5.15,Minimum Wage
North Dakota,2001,5.15,Minimum Wage
Ohio,2001,4.25,Minimum Wage
Oklahoma,2001,5.15,Minimum Wage
Oregon,2001,6.5,Minimum Wage
Pennsylvania,2001,5.15,Minimum Wage
Rhode Island,2001,6.15,Minimum Wage
South Carolina,2001,...,Minimum Wage
South Dakota,2001,5.15,Minimum Wage
Tennessee,2001,...,Minimum Wage
Texas,2001,3.35,Minimum Wage
Utah,2001,5.15,Minimum Wage
Vermont,2001,6.25,Minimum Wage
Virginia,2001,5.15,Minimum Wage
Washington,2001,6.72,Minimum Wage
West Virginia,2001,5.15,Minimum Wage
Wisconsin,2001,5.15,Minimum Wage
Wyoming,2001,1.6,Minimum Wage
District of Columbia,2001,6.15,Minimum Wage
FLSA,2002,5.15,Minimum Wage
Alabama,2002,...,Minimum Wage
Alaska,2002,5.65,Minimum Wage
Arizona,2002,...,Minimum Wage
Arkansas,2002,5.15,Minimum Wage
California,2002,6.75,Minimum Wage
Colorado,2002,5.15,Minimum Wage
Connecticut,2002,6.7,Minimum Wage
Delaware,2002,6.15,Minimum Wage
Florida,2002,...,Minimum Wage
Georgia,2002,5.15,Minimum Wage
Hawaii,2002,5.75,Minimum Wage
Idaho,2002,5.15,Minimum Wage
Illinois,2002,5.15,Minimum Wage
Indiana,2002,5.15,Minimum Wage
Iowa,2002,5.15,Minimum Wage
Kansas,2002,2.65,Minimum Wage
Kentucky,2002,5.15,Minimum Wage
Louisiana,2002,...,Minimum Wage
Maine,2002,5.75,Minimum Wage
Maryland,2002,5.15,Minimum Wage
Massachusetts,2002,6.75,Minimum Wage
Michigan,2002,5.15,Minimum Wage
Minnesota,2002,5.15,Minimum Wage
Mississippi,2002,...,Minimum Wage
Missouri,2002,5.15,Minimum Wage
Montana,2002,5.15,Minimum Wage
Nebraska,2002,5.15,Minimum Wage
Nevada,2002,5.15,Minimum Wage
New Hampshire,2002,5.15,Minimum Wage
New Jersey,2002,5.15,Minimum Wage
New Mexico,2002,4.25,Minimum Wage
New York,2002,5.15,Minimum Wage
North Carolina,2002,5.15,Minimum Wage
North Dakota,2002,5.15,Minimum Wage
Ohio,2002,4.25,Minimum Wage
Oklahoma,2002,5.15,Minimum Wage
Oregon,2002,6.5,Minimum Wage
Pennsylvania,2002,5.15,Minimum Wage
Rhode Island,2002,6.15,Minimum Wage
South Carolina,2002,...,Minimum Wage
South Dakota,2002,5.15,Minimum Wage
Tennessee,2002,...,Minimum Wage
Texas,2002,5.15,Minimum Wage
Utah,2002,5.15,Minimum Wage
Vermont,2002,6.25,Minimum Wage
Virginia,2002,5.15,Minimum Wage
Washington,2002,6.9,Minimum Wage
West Virginia,2002,5.15,Minimum Wage
Wisconsin,2002,5.15,Minimum Wage
Wyoming,2002,5.15,Minimum Wage
District of Columbia,2002,6.15,Minimum Wage
FLSA,2003,5.15,Minimum Wage
Alabama,2003,...,Minimum Wage
Alaska,2003,7.15,Minimum Wage
Arizona,2003,...,Minimum Wage
Arkansas,2003,5.15,Minimum Wage
California,2003,6.75,Minimum Wage
Colorado,2003,5.15,Minimum Wage
Connecticut,2003,6.9,Minimum Wage
Delaware,2003,6.15,Minimum Wage
Florida,2003,...,Minimum Wage
Georgia,2003,5.15,Minimum Wage
Hawaii,2003,6.25,Minimum Wage
Idaho,2003,5.15,Minimum Wage
Illinois,2003,5.15,Minimum Wage
Indiana,2003,5.15,Minimum Wage
Iowa,2003,5.15,Minimum Wage
Kansas,2003,2.65,Minimum Wage
Kentucky,2003,5.15,Minimum Wage
Louisiana,2003,...,Minimum Wage
Maine,2003,6.25,Minimum Wage
Maryland,2003,5.15,Minimum Wage
Massachusetts,2003,6.75,Minimum Wage
Michigan,2003,5.15,Minimum Wage
Minnesota,2003,5.15,Minimum Wage
Mississippi,2003,...,Minimum Wage
Missouri,2003,5.15,Minimum Wage
Montana,2003,5.15,Minimum Wage
Nebraska,2003,5.15,Minimum Wage
Nevada,2003,5.15,Minimum Wage
New Hampshire,2003,5.15,Minimum Wage
New Jersey,2003,5.15,Minimum Wage
New Mexico,2003,4.25,Minimum Wage
New York,2003,5.15,Minimum Wage
North Carolina,2003,5.15,Minimum Wage
North Dakota,2003,5.15,Minimum Wage
Ohio,2003,4.25,Minimum Wage
Oklahoma,2003,5.15,Minimum Wage
Oregon,2003,6.9,Minimum Wage
Pennsylvania,2003,5.15,Minimum Wage
Rhode Island,2003,6.15,Minimum Wage
South Carolina,2003,...,Minimum Wage
South Dakota,2003,5.15,Minimum Wage
Tennessee,2003,...,Minimum Wage
Texas,2003,5.15,Minimum Wage
Utah,2003,5.15,Minimum Wage
Vermont,2003,6.25,Minimum Wage
Virginia,2003,5.15,Minimum Wage
Washington,2003,7.01,Minimum Wage
West Virginia,2003,5.15,Minimum Wage
Wisconsin,2003,5.15,Minimum Wage
Wyoming,2003,5.15,Minimum Wage
District of Columbia,2003,6.15,Minimum Wage
FLSA,2004,5.15,Minimum Wage
Alabama,2004,...,Minimum Wage
Alaska,2004,7.15,Minimum Wage
Arizona,2004,...,Minimum Wage
Arkansas,2004,5.15,Minimum Wage
California,2004,6.75,Minimum Wage
Colorado,2004,5.15,Minimum Wage
Connecticut,2004,7.1,Minimum Wage
Delaware,2004,6.15,Minimum Wage
Florida,2004,...,Minimum Wage
Georgia,2004,5.15,Minimum Wage
Hawaii,2004,6.25,Minimum Wage
Idaho,2004,5.15,Minimum Wage
Illinois,2004,5.5,Minimum Wage
Indiana,2004,5.15,Minimum Wage
Iowa,2004,5.15,Minimum Wage
Kansas,2004,2.65,Minimum Wage
Kentucky,2004,5.15,Minimum Wage
Louisiana,2004,...,Minimum Wage
Maine,2004,6.25,Minimum Wage
Maryland,2004,5.15,Minimum Wage
Massachusetts,2004,6.75,Minimum Wage
Michigan,2004,5.15,Minimum Wage
Minnesota,2004,5.15,Minimum Wage
Mississippi,2004,...,Minimum Wage
Missouri,2004,5.15,Minimum Wage
Montana,2004,5.15,Minimum Wage
Nebraska,2004,5.15,Minimum Wage
Nevada,2004,5.15,Minimum Wage
New Hampshire,2004,5.15,Minimum Wage
New Jersey,2004,5.15,Minimum Wage
New Mexico,2004,5.15,Minimum Wage
New York,2004,5.15,Minimum Wage
North Carolina,2004,5.15,Minimum Wage
North Dakota,2004,5.15,Minimum Wage
Ohio,2004,4.25,Minimum Wage
Oklahoma,2004,5.15,Minimum Wage
Oregon,2004,7.05,Minimum Wage
Pennsylvania,2004,5.15,Minimum Wage
Rhode Island,2004,6.75,Minimum Wage
South Carolina,2004,...,Minimum Wage
South Dakota,2004,5.15,Minimum Wage
Tennessee,2004,...,Minimum Wage
Texas,2004,5.15,Minimum Wage
Utah,2004,5.15,Minimum Wage
Vermont,2004,6.75,Minimum Wage
Virginia,2004,5.15,Minimum Wage
Washington,2004,7.16,Minimum Wage
West Virginia,2004,5.15,Minimum Wage
Wisconsin,2004,5.15,Minimum Wage
Wyoming,2004,5.15,Minimum Wage
District of Columbia,2004,6.15,Minimum Wage
FLSA,2005,5.15,Minimum Wage
Alabama,2005,...,Minimum Wage
Alaska,2005,7.15,Minimum Wage
Arizona,2005,...,Minimum Wage
Arkansas,2005,5.15,Minimum Wage
California,2005,6.75,Minimum Wage
Colorado,2005,5.15,Minimum Wage
Connecticut,2005,7.1,Minimum Wage
Delaware,2005,6.15,Minimum Wage
Florida,2005,...,Minimum Wage
Georgia,2005,5.15,Minimum Wage
Hawaii,2005,6.25,Minimum Wage
Idaho,2005,5.15,Minimum Wage
Illinois,2005,6.5,Minimum Wage
Indiana,2005,5.15,Minimum Wage
Iowa,2005,5.15,Minimum Wage
Kansas,2005,2.65,Minimum Wage
Kentucky,2005,5.15,Minimum Wage
Louisiana,2005,...,Minimum Wage
Maine,2005,6.35,Minimum Wage
Maryland,2005,5.15,Minimum Wage
Massachusetts,2005,6.75,Minimum Wage
Michigan,2005,5.15,Minimum Wage
Minnesota,2005,5.15,Minimum Wage
Mississippi,2005,...,Minimum Wage
Missouri,2005,5.15,Minimum Wage
Montana,2005,5.15,Minimum Wage
Nebraska,2005,5.15,Minimum Wage
Nevada,2005,5.15,Minimum Wage
New Hampshire,2005,5.15,Minimum Wage
New Jersey,2005,5.15,Minimum Wage
New Mexico,2005,5.15,Minimum Wage
New York,2005,6,Minimum Wage
North Carolina,2005,5.15,Minimum Wage
North Dakota,2005,5.15,Minimum Wage
Ohio,2005,4.25,Minimum Wage
Oklahoma,2005,5.15,Minimum Wage
Oregon,2005,7.25,Minimum Wage
Pennsylvania,2005,5.15,Minimum Wage
Rhode Island,2005,6.75,Minimum Wage
South Carolina,2005,...,Minimum Wage
South Dakota,2005,5.15,Minimum Wage
Tennessee,2005,...,Minimum Wage
Texas,2005,5.15,Minimum Wage
Utah,2005,5.15,Minimum Wage
Vermont,2005,7,Minimum Wage
Virginia,2005,5.15,Minimum Wage
Washington,2005,7.35,Minimum Wage
West Virginia,2005,5.15,Minimum Wage
Wisconsin,2005,5.15,Minimum Wage
Wyoming,2005,5.15,Minimum Wage
District of Columbia,2005,6.6,Minimum Wage
FLSA,2006,5.15,Minimum Wage
Alabama,2006,...,Minimum Wage
Alaska,2006,7.15,Minimum Wage
Arizona,2006,...,Minimum Wage
Arkansas,2006,5.15,Minimum Wage
California,2006,6.75,Minimum Wage
Colorado,2006,5.15,Minimum Wage
Connecticut,2006,7.4,Minimum Wage
Delaware,2006,6.15,Minimum Wage
Florida,2006,6.4,Minimum Wage
Georgia,2006,5.15,Minimum Wage
Hawaii,2006,6.75,Minimum Wage
Idaho,2006,5.15,Minimum Wage
Illinois,2006,6.5,Minimum Wage
Indiana,2006,5.15,Minimum Wage
Iowa,2006,5.15,Minimum Wage
Kansas,2006,2.65,Minimum Wage
Kentucky,2006,5.15,Minimum Wage
Louisiana,2006,...,Minimum Wage
